object,role,stream_id,input_bytes,initial_ref_frames,initial_full_frames,semantic_misses,repair_full_frames,forward_protocol_stream_bytes,reverse_repair_control_stream_bytes,measurement_control_stream_bytes_excluded,diagnostic_stats_stream_bytes_excluded,client_ttfb_from_session_ms,client_completion_from_session_ms,client_stream_duration_ms,server_completion_ms,reconstruction_ok,tls_exporter_live,tls_exporter_outputs_match,sender_drain_batch_bytes,mode,round,execution_order
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,163.116,316.515,205.897,152.426,True,True,True,65536,multiplexed,14,2
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,203.776,314.406,201.686,145.768,True,True,True,65536,multiplexed,14,2
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,669.981,5219.369,5170.907,5057.029,True,True,True,65536,multiplexed,15,1
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1138,163.296,353.735,245.51,163.254,True,True,True,65536,multiplexed,15,1
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1138,164.435,373.567,262.867,183.251,True,True,True,65536,multiplexed,15,1
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1139,165.544,367.227,254.157,178.972,True,True,True,65536,multiplexed,15,1
small-4,warm-hit-small,16,65536,58,6,0,0,12929,9,13,1140,205.828,372.065,256.928,177.399,True,True,True,65536,multiplexed,15,1
blocker,miss-heavy-large,0,2097152,2042,6,2042,2042,2526667,49017,13,1157,637.723,4314.987,4266.415,4152.897,True,True,True,65536,sequential,15,2
small-1,warm-hit-small,4,65536,58,6,0,0,12929,9,13,1136,4361.534,4416.064,99.263,53.474,True,True,True,65536,sequential,15,2
small-2,warm-hit-small,8,65536,58,6,0,0,12929,9,13,1136,4461.007,4515.699,99.415,53.641,True,True,True,65536,sequential,15,2
small-3,warm-hit-small,12,65536,58,6,0,0,12929,9,13,1137,4560.556,4615.27,99.363,53.693,True,True,True,65536,sequential,15,2
